New	Nouveau
Use alternate Internet Address (if error when running AOL or 2 network adapters)	Utiliser une adresse IP alternative en cas de conflit avec AOL
When others issue the IM Images command:	Qui peut m'envoyer des images :
Start IM Images Connection	Initier le transfert d'images
Warning: The IM Image feature causes you to make a direct connection with your buddy.  Your buddy will be able to send you images which you may consider objectionable.	Attention ! Le transfert d'images implique une connexion directe au cours de laquelle vous risquez d'être exposé à du contenu offensant.
Connect	Connexion
Receive IM Images Connection	Transfert d'images
Do you know who sent you this image?	Connaissez-vous la personne qui vous envoie cette image ?
Warning:  You are about to open an Instant Message note that might contain images.  If you don't know who sent you this Instant Message note, be cautious in opening it.  There is a small chance that it could contain an image objectionable to you.	Attention ! Ce message contient peut-être des images. Si vous ne connaissez pas l'utilisateur qui vous a contacté, soyez prudent. Vous risquez d'être exposé à du contenu offensant.
Reject	Refuser
Ignore	Ignorer
Waiting for IM Images Connection	Connexion pour le transfert d'images
Waiting for buddy to make direct connection...	Connexion directe en cours. Veuillez patienter.
Buddy Icon	Icônes
Images to use for buddies	Icônes et contacts
Browse PC...	Parcourir...
Clear	Supprimer
Clear all Buddy Icons	Supprimer toutes les icônes
Buddy Icons Center:	Informations sur les icônes
Never display Buddy Icons	Ne pas afficher les icônes
Never accept Buddy Icons	Ne jamais recevoir d'icônes
Accept from users on Buddy List	Recevoir les icônes envoyées par les contacts figurant dans mon répertoire
Display Buddy Icon Knock-Knock dialog	Afficher la fenêtre Accepter l'icône
Accept Buddy Icon	Accepter l'icône
Your buddy would like to send you his or her Buddy Icon.	Votre contact souhaite vous envoyer une icône.
Warning:  the image below is a blurred view of the image, because you may consider the complete image objectionable.  To see a sharper version, keep clicking the 'Sharpen' button	Attention ! L'image ci-dessous est brouillée car elle pourrait être offensante. Pour l'afficher distinctement, cliquez sur le bouton Affiner.
Sharpen	Affiner
Download External Application	Télécharger une application externe
Waiting...	Procédure en cours...
Send Request to Buddy	Envoyer un message d'invitation
IDI_BLANK	IDI_BLANK
Enter the text for your invitation so your buddy can decide whether to join you:	Entrez un message invitant le contact à vous rejoindre :
Warning:  your buddy may be able to determine your IP address, which is a potential security risk.	Attention ! Cette opération peut permettre à votre contact d'identifier votre adresse IP, ce qui constitue un risque pour votre ordinateur.
IDI_PLAYAPP_TO	IDI_PLAYAPP_TO
Start	Envoyer
Games Center	Games Center
Screen names to invite (separated by commas):	Pseudonymes des contacts à inviter (séparés par des virgules ou entrés sur des lignes distinctes) :
Invitation Message:	Message d'invitation :
Select game (double-click game to send invitation) :	Select game (double-click game to send invitation) :
Warning:  the people to whom you send this invitation can determine your IP address.	Warning:  the people to whom you send this invitation can determine your IP address.
Add...	Add...
Advanced...	Advanced...
AOL Instant Messenger (SM) Games Center:	AIM, AOL Messager Games Center:
App Center	App Center
Select application (double-click to send invitation):	Select application (double-click to send invitation):
Find...	Find...
AOL Instant Messenger (SM) Application Center:	AIM, AOL Messager Application Center:
Received Request from buddy	Message d'invitation
Your buddy wants you to run the following application:	Votre contact vous demande de lancer l'application suivante :
Invitation from buddy:	Message :
Make sure you know and trust your buddy.	N'échangez des fichiers qu'avec des personnes en qui vous avez pleinement confiance.
Your buddy wants you to run the following application, but it is not installed on your computer:	Your buddy wants you to run the following application, but it is not installed on your computer:
If you think the application is installed, click 'Edit' to input its location (when ready, have your buddy reinvite you).  To find out more about it or to download and install the application, click on the following URL:	If you think the application is installed, click 'Edit' to input its location (when ready, have your buddy reinvite you).  To find out more about it or to download and install the application, click on the following URL:
Your buddy wants you to run the following application, but it is not configured to run from AIM:	Your buddy wants you to run the following application, but it is not configured to run from AIM:
If you would like to configure this application to run from AIM, click on 'Add'. To find out more about it or to download and install the application, click on the following URL:	If you would like to configure this application to run from AIM, click on 'Add'. To find out more about it or to download and install the application, click on the following URL:
Add New External Application	Add New External Application
Name:	Name:
Executable path:	Executable path:
Command line parameters:	Command line parameters:
Server command line parameters:	Server command line parameters:
Note: see Help for a full explanation of the command line options. Use %i for buddy's IP address, %m for buddy's machine name, %p for path, %u for own IP address, %n for own screen name	Note: see Help for a full explanation of the command line options. Use %i for buddy's IP address, %m for buddy's machine name, %p for path, %u for own IP address, %n for own screen name
Start in (Working Directory):	Start in (Working Directory):
URL to application's home page:	URL to application's home page:
'App Paths' Key in Registry:	'App Paths' Key in Registry:
Hint to aid in running program:	Hint to aid in running program:
Can invite multiple buddies	Can invite multiple buddies
Launch application before sending invite	Launch application before sending invite
Hide IMs with 'Playing Game' Away message	Hide IMs with 'Playing Game' Away message
Games	Games
List of Games:	List of Games:
Info for selected Game:	Info for selected Game:
Add Game	Add Game
Copy to Clipboard	Copy to Clipboard
Use alternate Internet Address (if games fail when running AOL or 2 network adapters)	Utiliser une adresse IP alternative en cas de conflit avec AOL
Talk	Connexion vocale
Don't display start dialog	Ne pas afficher la fenêtre Etablir la connexion vocale
Always Talk in Half Duplex mode, even if sound card reports Full Duplex	Se connecter toujours en mode semi-duplex, même si la carte son est en mode duplex intégral
When others want to Talk to you:	Qui peut établir une connexion vocale :
Talk Sounds	Sons
Play a sound when starting or receiving Talk command	Signal sonore lors de la connexion vocale
Play a sound when Talk disconnected	Signal sonore lors de l'interruption de la connexion vocale
Play a sound when buddy clicks 'Stop Talk' in Half Duplex	Signal sonore lorsque le contact clique sur Arrêter de parler, en mode semi-duplex
Start Talk Connection	Etablir la connexion vocale
You are about to make a direct connection to your buddy's computer so that you can talk with your buddy.  It may take a few moments before the connection is completed.	Vous allez établir une connexion directe afin de pouvoir parler avec votre contact. Cela peut prendre quelques instants.
Make sure you know and trust your buddy.	Ne communiquez qu'avec des personnes en qui vous avez pleinement confiance.
Don't display this dialog again.	Ne plus afficher ce message
Receive Talk Connection	Accepter la connexion vocale
Do you know who wants to talk to you?	Connaissez-vous la personne qui veut vous parler ?
Warning:  You are about to make a direct connection with your buddy to allow you to talk with him.	Attention ! Vous allez établir une connexion directe afin de pouvoir parler avec votre contact.
Make sure you know and trust your buddy.	Ne communiquez qu'avec des personnes en qui vous avez entièrement confiance.
Mail	Mail
Alert Notification:	Alert Notification:
Play sound	Play sound
Display alert window	Display alert window
Keep alert window on top	Keep alert window on top
Display alert tray icon	Display alert tray icon
E-mail Addresses to check:	E-mail Addresses to check:
Add Mail Box	Add Mail Box
Add New Mail Box	Add New Mail Box
Type:	Type:
POP3 Server Name:	POP3 Server Name:
POP3 Email Program:	POP3 Email Program:
Check for Mail every	Check for Mail every
Please choose which group to add "%s" into:	Sélectionnez le groupe dans lequel vous voulez inclure "%s"  :
Type in the name of the new group below:	Entrez le nom du nouveau groupe :
Confirmation	Valider
You will not be asked to upgrade again.	Vous ne recevrez plus de demandes de mise à jour.
To be notified of upgrades in the future, click cancel.	Pour être informé des futures mises à jour, cliquez sur Annuler.
Preferences	Options
To receive upgrade notifications, go to your General Preferences.	Pour paramétrer les informations de mise à jour, cliquez sur Options.
Software Upgrade Recommended	Mise à jour recommandée
You are running an out-of-date version of AOL Instant Messenger (SM). Although you may continue to use this version, we recommend that you upgrade to the current version to obtain the latest features and bug fixes.	Votre version d'AIM, AOL Messager est obsolète. Vous pouvez continuer d'utiliser ce logiciel, mais en procédant à une mise à jour vous bénéficierez des nouvelles fonctionnalités et des corrections de bugs.
You will be upgraded to the following version:	La version d'AIM, AOL Messger que vous allez télécharger est la suivante :
Version	Version :
Upgrade Now	Mettre à jour
Upgrade Later	Mettre à jour plus tard
Do Not Upgrade	Annuler
You have selected to upgrade to a new version of AOL Instant Messenger (SM) now.	Vous avez choisi de télécharger la nouvelle version d'AIM, AOL Messager maintenant.
To continue with this AIM session, and not upgrade now, click Cancel.	Pour ne pas quitter la session en cours et procéder au téléchargement ultérieurement, cliquez sur Annuler
To continue with this upgrade, and shut down your current AIM session, click OK.	Pour quitter la session en cours et lancer le téléchargement de la nouvelle version et quitter la version, cliquez sur OK.
You have selected to upgrade to a new version of AOL Instant Messenger (SM) at a later date.	Vous avez choisi de télécharger la nouvelle version d'AIM, AOL Messager ultérieurement.
You will be reminded again in one week.	Vous recevrez un rappel dans une semaine.
Edit	Edit
More Info for %s...	More Info for %s...
Intraday Chart (Large) for %s...	Intraday Chart (Large) for %s...
Intraday Chart (Small) for %s...	Intraday Chart (Small) for %s...
Chart (Large)	Chart (Large)
Chart (Small)	Chart (Small)
More Info...	More Info...
Refresh	Refresh
http://charts.netscape.com/?t=1s=%s	http://charts.netscape.com/?t=1s=%s
http://quicken.aol.com/investments/quotes/?symbol=%s	http://quicken.aol.com/investments/quotes/?symbol=%s
Year High	Year High
Year Low	Year Low
Refresh All Quotes	Refresh All Quotes
More Info on %s...	More Info on %s...
Text File (*.txt)|*.txt|All Files (*.*)|*.*||	Text File (*.txt)|*.txt|All Files (*.*)|*.*||
% Change	% Change
Save Stock Table	Save Stock Table
Unable to open file\r\n%s	Unable to open file\r\n%s
Unable to load ticker information.  The ticker cannot receive data if your internet connection uses a proxy server.	Unable to load ticker information.  The ticker cannot receive data if your internet connection uses a proxy server.
Talk	Parler
Connect\nto Talk	Connexion vocale
IP Address	Adresse IP
Module %s is missing. It is required to run AOL Instant Messenger (SM).	Le module %s, indispensable à l'exécution d'AIM, AOL Messager, est introuvable.
Module %s failed due to error %ld.\r\nIt is required to run AOL Instant Messenger (SM).	Echec du module %s. Erreur %ld. Ce module est indispensable à l'exécution d'AIM, AOL Messager.
Module %s is invalid. It is required to run AOL Instant Messenger (SM).	Le module %s, indispensable à l'exécution d'AIM, AOL Messager, est incorrect.
Module %s failed to load. It is required to run AOL Instant Messenger (SM).	Echec du chargement du module %s, indispensable à l'exécution d'AIM, AOL Messager.
<CENTER>Loading chart, please wait...</CENTER>	<CENTER>Loading chart, please wait...</CENTER>
- Could not retrieve stock data	- Could not retrieve stock data
You can only start one Talk session at a time, and you already have a Talk session open.	Vous ne pouvez établir qu'une seule connexion vocale à la fois. Actuellement, vous disposez déjà d'une connexion vocale en cours.
%s is not available for Talk right now.	%s ne peut pas établir une connexion vocale maintenant.
%s is trying to Talk with you, but you can only have one Talk session at a time.	%s souhaite établir une connexion vocale avec vous, mais vous êtes déjà en train de parler avec quelqu'un d'autre.
Unable to initialize Talk; perhaps you don't have a sound card or your system audio is already in use.	Connexion vocale impossible. Il est possible que vous ne disposiez pas d'une carte son ou que votre système audio soit en cours d'utilisation par une autre application.
Cannot open the file <I>%s</I> because it has no extension	Impossible d'ouvrir <I>%s</I>. Ce fichier n'a pas d'extension.
=-O Surprised   Ctrl+5	=-O    Ctrl+5
:-*  Kissing  Ctrl+6	:-*    Ctrl+6
>:o Yelling  Ctrl+7	>:o   Ctrl+7
8-) Cool  Ctrl+8	8-)   Ctrl+8
:-$ Money-mouth   Ctrl+Shift+1	:-$   Ctrl+Shift+1
:-! Foot-in-mouth   Ctrl+Shift+2	:-!   Ctrl+Shift+2
:-[  Embarrassed  Ctrl+Shift+3	:-[    Ctrl+Shift+3
O:-)  Innocent  Ctrl+Shift+4	O:-)    Ctrl+Shift+4
:-\\  Undecided  Ctrl+Shift+5 :-/	:-\\    Ctrl+Shift+5 :-/
:'( Crying   Ctrl+Shift+6	:'(    Ctrl+Shift+6
:-X Lips-are-sealed   Ctrl+Shift+7	:-X    Ctrl+Shift+7
:-D Laughing   Ctrl+Shift+8	:-D    Ctrl+Shift+8
Mail Menu	Mail Menu
Send Mail	Send Mail
Mail Preferences...	Mail Preferences...
Mailboxes	Mailboxes
\n\n%s disconnected.\n\nThis window will close in %d seconds\n\n	%s s'est déconnecté. Cette fenêtre va se fermer dans %d secondes
Connecting to %s	Connexion en cours avec %s
%s is connecting	%s en cours de connexion
Talk with %s	Connexion vocale avec %s
Another application is currently using the sound card; you must close that application to Talk to your buddy.	La carte son est en cours d'utilisation par une autre application. Pour parler à votre contact, vous devez d'abord la quitter.
Push to Talk	Parler
Push to Listen	Ecouter
Mute	Secret
Disconnect	Déconnexion
Change Style	Changer d'affichage
Volume:	Volume :
Half-duplex: click to start talking	Semi-duplex : cliquez ici et parlez
Half-duplex: click to stop talking and start listening	Semi-duplex : cliquez ici pour cesser de parler et écouter
Click to pause or resume the communication	Cliquez ici pour faire une pause ou rétablir la communication
Click to end the Talk connection and close the window	Cliquez ici pour cesser de parler et fermer la fenêtre
Click to stop talking; you can still listen	Cliquez ici pour cesser de parler et pouvoir écouter
Click to change the style of the voice meters	Cliquez ici pour changer l'affichage du compteur
Insert Smilie	Insérer un smiley
Talk failed due to rate limiting; try again in another minute	Vous avez atteint la limite autorisée. Réessayez ultérieurement
Your buddy's AIM software is old and cannot talk with you; make sure you are both running the latest software.	La version d'AIM dont dispose votre contact ne lui permet pas de parler avec vous. Vérifiez que vous disposez tous les deux de la version la plus récente du logiciel.
Volume is above %d	Le volume est au dessus de %d
The volume, %d, is above %d.	Le volume, %d, est au dessus de %d.
Price is below previous close by %.3f	Price is below previous close by %.3f
Price is above previous close by %.3f	Price is above previous close by %.3f
The current price %.3f is below the previous close by at least %.3f point(s).	The current price %.3f is below the previous close by at least %.3f point(s).
The current price %.3f is above the previous close by at least %.3f point(s).	The current price %.3f is above the previous close by at least %.3f point(s).
Price is below %.4f	Price is below %.4f
Price is above or below previous close by %.3f	Price is above or below previous close by %.3f
Price is above %.4f	Price is above %.4f
The current price %.3f is above the 52-week high of %.3f.	The current price %.3f is above the 52-week high of %.3f.
The current price %.3f is below the 52-week low of %.3f.	The current price %.3f is below the 52-week low of %.3f.
Price is above 52-week high	Price is above 52-week high
Price is below 52-week low	Price is below 52-week low
The current price %.3f is above %.3f.	The current price %.3f is above %.3f.
The current price %.3f is below %.3f.	The current price %.3f is below %.3f.
Price is above or below previous close by	Price is above or below previous close by
Price is above previous close by	Price is above previous close by
Price is below previous close by	Price is below previous close by
Volume is above	Le volume est au dessus de
Price is above	Price is above
Price is below	Price is below
Price is above 52 week high	Price is above 52 week high
Price is below 52 week low	Price is below 52 week low
Tripped?	Tripped?
Symbol	Symbol
Date Entered:	Date indiquée :
Location Entered:	Emplacement :
First Name:	Prénom :
Middle Name:	Middle Name:
Last Name:	Nom :
Birthday:	Anniversaire :
Address:	Adresse :
City:	Ville :
State:	Etat :
Country:	Pays :
Zip Code:	Code postal :
Apt. No.	Apt. N°.
Male	Sexe masculin
Female	Sexe féminin
Unknown	Inconnu
Add	Ajouter
Locate	Situer
Preferences...	Options...
Chat Room Name:	Nom du salon :
Added in Buddy Information Manager.	Ajouté dans Buddy Information Manager.
Sounds (*.wav)	Sons (*.wav)
Browse for Sound	Rechercher un son
Display in Buddy List	Afficher dans le répertoire
My Buddies	Amis
Buddy Settings	Options de répertoire
Preview...	Test...
Play this sound when member signs on	Signal sonore lors de la connexion d'un utilisateur
IM Sounds:	Options de son :
Play this sound when member signs off	Signal sonore lors de la déconnexion d'un utilisateur
Buddy Sounds:	Sons associés aux interlocuteurs :
Play this sound when first IM is received from this user	Signal sonore à la réception du premier message de cet utilisateur.
Play this sound when an IM is received from this user	Signal sonore à la réception d'un message de cet utilisateur.
Play this sound when sending an IM to this user	Signal sonore lors de l'envoi d'un message à cet utilisateur.
IM Settings	Options de message
The name you entered already exists!	Le nom que vous avez indiqué existe déjà !
Apply these IM sound settings to all buddies?\r\n\r\nIf you choose Yes, any custom IM sounds for buddies will be replaced.	Voulez-vous appliquer ces options de son à la fonction Message ? Si vous cliquez sur Oui, toutes les options préalablement définies pour cette fonction seront remplacées.
Apply these Buddy sound settings to all buddies?\r\n\r\nIf you choose Yes, any custom Buddy sounds for buddies will be replaced.	Voulez-vous appliquer ces options de son à tous vos interlocuteurs ? Si vous cliquez sur Oui, toutes les options préalablement définies pour cette fonction seront remplacées.
Apply these IM Log settings to all buddies?\r\n\r\nIf you choose Yes, any custom IM Log settings for buddies will be replaced.	Voulez-vous appliquer ces options de connexion à la fonction Message ? Si vous cliquez sur Oui, toutes les options préalablement définies dans ce domaine seront remplacées.
Apply these Buddy Log settings to all buddies?\r\n\r\nIf you choose Yes, any custom Buddy Log settings for buddies will be replaced.	Voulez-vous appliquer ces options de connexion à tous vos interlocuteurs ? Si vous cliquez sur Oui, toutes les options préalablement définies dans ce domaine seront perdues.
Marital Status:	Situation familiale :
Extended	Etendu
Results of Last Info:	Résultats des dernières informations :
Buddy Info	Profil personnel
Use Description	Utiliser la description
Description:	Description :
Disable Group	Désactiver le groupe
Enable Group	Activer le groupe
Copy Buddy Name to Clipboard	Copier le nom de l'interlocuteur dans le Presse-papiers
Send Instant Message...	Message...
Get Member Info...	Informations sur le contact...
AOL NetFind	Recherche AOL
Buddy Settings...	Options de répertoire...
The folder name you typed already exists.  Please pick a different name.	Le nom de dossier que vous avez tapé existe déjà. Choisissez-en un autre.
*New Group*	*Nouveau groupe*
*New Buddy*	*Nouveau contact*
Real Name:	Nom réel :
Are you sure you want to delete %s from your list?	Voulez-vous vraiment supprimer %s de votre répertoire ?
Are you sure you want to delete group %s and all of the buddies it contains?	Voulez-vous vraiment supprimer le groupe  %s et, par conséquent, tous les interlocuteurs qu'il comprend ?
You must keep at least one group.	Vous devez conserver au moins un groupe.
Buddies;Family;Co-Workers	Amis;Parents;Collègues
List Setup	Répertoire
Online	En ligne
%s%s Buddy List Window	Répertoire de %s%s
Try AOL	Découvrez AOL
Are you sure you want to end your session?	Voulez-vous vraiment fermer votre session ?
www.aol.com/netfind/person.im.html	www.aol.com/netfind/person.im.html
http://search.aol.com/	http://search.aol.com/
www.aol.com/netfind/business.im.html	www.aol.com/netfind/business.im.html
Closing this window will end your session.  Are you sure you wish to quit?	En fermant cette fenêtre, vous mettez fin à votre session. Voulez-vous vraiment quitter le logiciel ?
www.aol.com/buddies	www.aol.com/buddies
www.aim.aol.com/cgi-bin/bugs.cgi	www.aim.aol.com/cgi-bin/bugs.cgi
aim95.hlp	aim95.hlp
You currently have %lu buddies, which exceeds the maximum of %lu.\r\n\r\nNot all buddies online can be displayed until you remove some from your list.	Vous avez actuellement %lu contacts, c'est-à-dire %lu de plus que ce qu'un répertoire peut contenir.\r\n\r\nAIM ne pourra afficher tous les contacts en ligne que lorsque vous en aurez supprimé certains de votre répertoire.
You cannot add another buddy to your Buddy List.\r\n\r\nThe maximum number of buddies accepted is %lu.	Vous ne pouvez pas ajouter d'autres contacts à votre répertoire.\r\n\r\nUn répertoire ne peut pas contenir plus de %lu interlocuteurs.
Enabling that group would increase the size of your Buddy List to %lu names.\r\n\r\nThe maximum Buddy List size is %lu names.	En intégrant ce groupe, vous porteriez votre répertoire à %lu noms.\r\n\r\nUn répertoire ne peut pas contenir plus de %lu noms.
%s is offline.	%s n'est pas connecté.
Description:\t%s\r\n	Description : t%s\r\n
<none>	<aucun>
,	,
The application "	L'application "
Send Instant\nMessage	Envoyer un message
Send Buddy\nChat Invitation	Inviter à une discussion
Service:\t%s\r\n	Service : %s
Warnings:\t%u%%\r\n	Pénalités de : %u%%
Online time:\t%s\r\n	Connecté depuis : %s
Idle time:\t%s\r\n	Inactif depuis : %s
Active.\r\n	Actif.
%u minute	%u minute
%u minutes	%u minutes
%u hour	%u heure
%u hours	%u heures
day	jour
%u days	%u jours
on	connecté
off	déconnecté
%s signed %s %s on %s	%s a connecté %s %s sur %s
<HTML><A HREF="%s">	<HTML><A HREF="%s">
</A></HTML>	</A></HTML>
http://www.aol.com	http://www.aol.fr/comm.htm
You didn't enter a screen name.\r\n\r\nPlease correct or delete the highlighted item.	Vous n'avez pas entré un pseudonyme. Rectifiez la saisie ou supprimez l'élément sélectionné.
You didn't enter a group name.\r\n\r\nPlease correct or delete the highlighted item.	Vous n'avez pas entré un nom de groupe. Rectifiez la saisie ou supprimez l'élément sélectionné.
A screen name in your list is too short or contains invalid characters.\r\n\r\nPlease correct or delete the highlighted item.	L'un des pseudonymes de la liste est trop court ou contient des caractères non autorisés. Apportez les corrections nécessaires ou supprimez l'élément sélectionné.
A screen name in your list was entered as an e-mail address.  Would you like to look up the screen name for that e-mail address?	L'un des pseudonymes a été ajouté à la liste sous la forme d'une adresse électronique. Voulez-vous rechercher le pseudonyme correspondant à cette adresse ?
The same screen name appears more than once in a group.\r\n\r\nPlease correct or delete the highlighted item.	Le même pseudonyme figure déjà dans le groupe. Rectifiez l'erreur ou supprimez l'élément sélectionné.
%s already exist in group '%s'.	%s existe déjà dans le groupe '%s'.
Couldn't import buddy '%s' because your list is full.	Impossible d'ajouter '%s' à votre répertoire, car celui-ci est complet.
You have created a group with the same name as an existing group.\r\n\r\nPlease rename the highlighted item.	Il existe déjà un groupe portant ce nom. Renommez l'élément sélectionné.
Arial	Arial
Entering Buddy	Arrivée d'un interlocuteur
Online Buddy	Interlocuteur en ligne
Departing Buddy	Départ d'un interlocuteur
Connect to Talk	Connexion vocale
The time you specified for graying idle users is invalid.\r\nThe value has been set to the default of %u minutes.	Le délai au terme duquel le pseudonyme des utilisateurs inactifs doit s'afficher en grisé est incorrect\r\n. AIM a appliqué le délai par défaut, à savoir %u minutes.
Offline	Hors connexion
1. Connecting...	1. Connexion en cours...
2. Verifying name and password...	2. Vérification du pseudonyme et du mot de passe...
3. Starting services...	3. Initialisation des services...
Click OK to exit or Cancel to return to the sign on screen.	Cliquez sur OK pour quitter le logiciel ou sur Annuler pour revenir à l'écran de connexion.
Setup	Configurer
Sign On	Connecter
Sign On...	Connexion...
Signon As...	Connexion en tant que...
Sign Off...	Déconnexion...
Are you sure you want to delete the Screen Name %s?\n(Note: this only affects your local machine)\nClick Yes to delete the Screen Name or No to continue.\r\n	Etes-vous sûr de vouloir supprimer le pseudonyme  %s de votre système ?\n(ce changement n'affecte que votre environnement local) \nCliquez sur Oui pour supprimer le pseudonyme ou sur Non pour continuer.
Connection Preferences	Options de connexion
<New User>	<Nouvel utilisateur>
Version: 2.0N	Version : 2.0N
A group could not be started.	Un groupe n'a pas pu être lancé.
register.oscar.aol.com/73010_reuse	register.oscar.aol.com/73010_reuse
register.oscar.aol.com/73010_create	register.oscar.aol.com/73010_create
*Enter Screen Name*	*Pseudonyme*
You cannot add another name to this list.\n\nThis list is limited to %u names.	Vous ne pouvez pas ajouter d'autres noms à la liste.\n\nCette liste ne peut pas contenir plus de %u noms.
Privacy Preferences	Options de confidentialité
The screen name '%s' is invalid.\n\nPlease correct it or delete it.	Le pseudonyme '%s' est incorrect.\n\nRectifiez-le ou supprimez-le.
You entered an e-mail address (%s) instead of a screen name.\n\nPlease enter the correct screen name or delete this item.	Vous avez entré une adresse électronique (%s) au lieu d'un pseudonyme.\n\nEntrez un pseudonyme correct ou supprimez l'élément.
You didn't enter a screen name.\n\nPlease correct or delete the item.	Vous n'avez pas entré de pseudonyme.\n\nVous devez en définir un ou supprimer l'entrée.
The screen name '%s' is already in the list.\n\nPlease delete the duplicate item.	Le pseudonyme '%s' figure déjà dans la liste.\n\nSupprimez le doublon.
Couldn't add '%s' to your allow list because the list is full.	Impossible d'ajouter '%s' à votre liste d'utilisateurs exclus, car celle-ci est complète.
Couldn't add '%s' to your block list because the list is full.	Impossible d'ajouter '%s' à la liste d'utilisateurs exclus, car celle-ci est complète.
There isn't enough memory available to continue.\n\nClose one or more applications and select 'Retry' below.	La mémoire est insuffisante pour pouvoir continuer. \n\nFermez au moins une application et sélectionnez 'Réessayer'.
(Line %lu) %s	(Ligne %lu) %s
Alert When	Alert When
%s could not obtain a timer resource that it needs to perform the action you requested.\n\nPlease close one or more applications and select 'Retry' below.	%s n'a pas pu obtenir l'horodateur requis pour l'opération demandée.\n\nFermez une ou plusieurs applications et sélectionnez 'Réessayer'.
There isn't enough disk space available to continue.\n\nPlease delete one or more unneeded files and select 'Retry' below.	L'espace disque disponible est insuffisant.\n\nSupprimez un ou plusieurs fichiers et sélectionnez 'Réessayer'.
%u day	%u jour
Info	Informations
Your nickdb.dat was found to be corrupted.\n%s has backed-up this file to\n%s\nand is starting a new one.\n\nIn most cases you do not need to do anything else.\nPlease inform us of this happening via a bug report.	Le fichier nickdb.dat est corrompu. %s va le recréer à partir de la copie de sauvegarde effectuée dans %s. Cet incident ne requiert pas d'autre intervention de votre part. Toutefois, merci de nous en informer à l'aide de l'option Signaler un bug du menu d'aide.
Edit User Info...	Modifier le profil personnel...
Show Buddy List...	Afficher le répertoire...
Sound Preferences	Options de son
Apply	Appliquer
<title>Default Away Message</title>I am away from my computer right now.	<title>Message d'absence</title>Je ne suis pas à mon poste actuellement.
New Message...	Nouveau message...
More	Salons
AOL Instant Messenger (SM) Preferences	Options d'AIM, AOL Messager
Text Color	Couleur de texte
Background Color	Couleur de fond
Smaller Font	Réduire la taille
Normal Font	Taille normale
Larger Font	Augmenter la taille
Bold	Gras
Italic	Italique
Underline	Souligné
Create Hyperlink	Créer un hyperlien
Class:	Catégorie :
Warning Level:	Pénalités de :
Idle:	Inactif :
Active	Actif
Online time:	Connecté depuis :
Member Since:	Enregistré depuis :
Transient	Provisoire
Admin	Admin
AOL	AOL
Oscar	Oscar
Oscar Free	Oscar Free
Not Available	Information non disponible
AM	AM
PM	PM
Times New Roman	Times New Roman
System	Système
Text From File...\tF9	Texte du fichier... F9
Picture Or Sound...\tF10	Image ou son... F10
Horizontal Rule\tCtrl+H	Règle horizontale Ctrl+H
Record Sound...\tF12	Enregistrer le son... F12
Hyperlink...\tCtrl+L	Hyperlien... Ctrl+L
Show Hyperlink...	Afficher l'hyperlien...
Edit Hyperlink...	Modifier l'hyperlien...
Size Picture...	Redimensionner l'image...
Save Picture...	Enregistrer l'image...
Save Sound...	Enregistrer le son...
Normal\tCtrl+N	Normal Ctrl+N
Bold\tCtrl+B	Gras Ctrl+B
Italic\tCtrl+I	Italique Ctrl+I
Underline\tCtrl+U	Souligné Ctrl+U
Monospaced Text\tCtrl+T	Interligne simple Ctrl+T
Superscript	Exposant
Subscript	Indice
6	6
8	8
10	10
12	12
14	14
18	18
24	24
38	38
Style	Style
Size	Taille
Color	Couleur de texte
Insert	Insérer
Smilie	Smileys
:-)  Smiling  Ctrl+1 :)	:-)  Ctrl+1 :)
:-(  Frowning  Ctrl+2 :(	:-(  Ctrl+2 :(
;-)  Winking  Ctrl+3 ;)	;-)  Ctrl+3 ;)
:-P Sticking-out-tongue   Ctrl+4	:-P Ctrl+4
Black	Noir
Maroon	Bordeaux
Green	Vert
Olive	Olive
Navy	Bleu foncé
Purple	Violet
Teal	Bleu-gris
Gray	Gris foncé
Silver	Gris clair
Red	Rouge
Lime	Vert vif
Yellow	Jaune
Blue	Bleu
Fuchsia	Fuchsia
Aqua	Bleu clair
White	Blanc
Text Color...	Couleur de texte...
Text Background Color...	Couleur de fond...
Window Color...	Couleur de la fenêtre...
Undo\tCtrl+Z	Annuler Ctrl+Z
Cut\tCtrl+X	Couper Ctrl+X
Copy\tCtrl+C	Copier Ctrl+C
Paste\tCtrl+V	Coller Ctrl+V
Paste Picture	Coller l'image
Delete\tDel	Supprimer Suppr.
Select All\tCtrl+A	Sélectionner tout Ctrl+A
Find...\tF5	Rechercher... F5
Find Again\tF3	Poursuivre la recherche F3
Print...\tF4	Imprimer... F4
Print Setup...\tShift+F4	Configuration de l'impression... Maj+F4
Clear Window	Vider la fenêtre
Save Window...	Enregistrer la fenêtre...
Open Window...	Ouvrir la fenêtre...
Set Mark\tF7	Définir une séparation
Goto Mark\tF8	Aller à la séparation F8
Get Output Size	Obtenir la taille de sortie
Page %d	Page %d
Output size is %ld bytes	La taille en sortie est de %ld octets
Output size	Taille en sortie
All Files|*.*|	Tous |*.*|
Open File to Insert	Ouvrir le fichier à insérer
