New	Neu
Location Entered:	Eingegebener Standort:
First Name:	Vorname:
Middle Name:	Zweiter Name:
Last Name:	Nachname:
Birthday:	Geburtstag:
Address:	Adresse:
City:	Stadt:
State:	Bundesland:
Country:	Land:
Zip Code:	Postleitzahl:
Apt. No.	Adresszusatz
Male	Männlich
Female	Weiblich
Unknown	Unbekannt
Locate	Suchen
Preferences...	Voreinstellungen...
Chat Room Name:	Name des Chat-Raums:
Added in Buddy Information Manager.	Zum Buddy Information Manager hinzugefügt
Sounds (*.wav)	Töne (*.wav)
Browse for Sound	Nach Tönen suchen
Display in Buddy List	In Buddy-Liste anzeigen
My Buddies	Meine Buddies
Buddy Settings	Buddy-Einstellungen
Preview...	Anhören...
Play this sound when member signs on	Ton beim Anmelden eines Buddys
IM Sounds:	Telegramm-Töne:
Play this sound when member signs off	Ton beim Abmelden eines Buddys
Buddy Sounds:	Buddy-Töne:
Play this sound when first IM is received from this user	Ton bei Empfang des ersten Telegramms von diesem Benutzer
Play this sound when an IM is received from this user	Ton bei Empfang eines Telegramms von diesem Benutzer
Play this sound when sending an IM to this user	Ton beim Abschicken eines Telegramms an diesen Benutzer
IM Settings	Telegramm-Einstellungen
The name you entered already exists!	Dieser Name existiert bereits!
Apply these IM sound settings to all buddies?\r\n\r\nIf you choose Yes, any custom IM sounds for buddies will be replaced.	Diese Telegramm-Toneinstellungen allen Buddies zuweisen?\r\n\r\nFalls Sie "Ja" wählen, werden bereits vorhandene Einstellungen für Telegramm-Ton ersetzt.
Apply these Buddy sound settings to all buddies?\r\n\r\nIf you choose Yes, any custom Buddy sounds for buddies will be replaced.	Diese AIM-Toneinstellungen allen Buddies zuweisen?\r\n\r\nFalls Sie " Ja" wählen, werden bereits vorhandene Einstellungen der Buddies für AIM-Töne ersetzt.
Apply these IM Log settings to all buddies?\r\n\r\nIf you choose Yes, any custom IM Log settings for buddies will be replaced.	Diese Einstellungen für das Telegramm-Logbuch allen Buddies zuweisen?\r\n\r\nFall Sie "Ja" wählen, werden bereits vorhandene Einstellungen für das Chat-Logbuch der Buddies ersetzt.
Apply these Buddy Log settings to all buddies?\r\n\r\nIf you choose Yes, any custom Buddy Log settings for buddies will be replaced.	Diese Logbuch-Einstellungen allen Buddies zuweisen?\r\n\r\nFalls Sie "Ja" wählen, werden bereits vorhandene Einstellungen für das Logbuch ersetzt.
Marital Status:	Familienstand:
Extended	Erweitert
Results of Last Info:	Ergebnisse der letzten Suche:
Buddy Info	Buddy-Info
Use Description	Beschreibung verwenden
Description:	Beschreibung:
Disable Group	Gruppe deaktivieren
Enable Group	Gruppe aktivieren
Copy Buddy Name to Clipboard	Name des Buddies in die Zwischenablage kopieren
Get Member Info...	Infos...
AOL NetFind	AOL NetFind
Buddy Settings...	Buddy-Einstellungen...
The folder name you typed already exists.  Please pick a different name.	Der angegebene Ordner ist bereits vorhanden. Bitte wählen Sie einen anderen Namen.
*New Group*	*Neue Gruppe*
*New Buddy*	*Neuer Buddy*
Real Name:	Wirklicher Name:
Are you sure you want to delete %s from your list?	Sind Sie sicher, daß Sie %s aus Ihrer Liste löschen wollen?
Are you sure you want to delete group %s and all of the buddies it contains?	Möchten Sie die Gruppe %s und die dazugehörigen Buddies wirklich löschen?
You must keep at least one group.	Sie müssen mindestens eine Gruppe behalten.
Buddy List	Liste
Buddies;Family;Co-Workers	Freunde;Familie;Kollegen
List Setup	List einrichten
Online	Online
%s%s Buddy List Window	%s%s Buddy-Listenfenster
Try AOL	AOL
Are you sure you want to end your session?	Sind Sie sicher, daß Sie die Sitzung beenden wollen?
www.aol.com/netfind/person.im.html	www.aol.com/netfind/person.im.html
http://search.aol.com/	http://search.aol.com/
www.aol.com/netfind/business.im.html	www.aol.com/netfind/business.im.html
Closing this window will end your session.  Are you sure you wish to quit?	Wenn Sie das Fenster schließen, wird Ihre Sitzung beendet. Möchten Sie wirklich aufhören?
www.aol.com/buddies	www.aol.de/aim/index.html
www.aim.aol.com/cgi-bin/bugs.cgi	www.aim.aol.com/cgi-bin/bugs.cgi
aim95.hlp	aim95.hlp
You currently have %lu buddies, which exceeds the maximum of %lu.\r\n\r\nNot all buddies online can be displayed until you remove some from your list.	Sie haben zur Zeit %lu Buddies eingetragen, das überschreitet die maximale Anzahl von %lu.\r\n\r\nDamit alle Buddies angezeigt werden können, die online sind, müssen Sie einige von der Liste löschen.
You cannot add another buddy to your Buddy List.\r\n\r\nThe maximum number of buddies accepted is %lu.	Sie können Ihrer Liste keinen Buddy mehr hinzufügen.\r\n\r\nDie maximale Anzahl beträgt  %lu Buddies.
Enabling that group would increase the size of your Buddy List to %lu names.\r\n\r\nThe maximum Buddy List size is %lu names.	Das Aktivieren dieser Gruppe würde Ihre Liste auf %lu Namen erweitern.\r\n\r\nDie Liste faßt maximal %lu Namen.
%s is offline.	%s ist offline.
Description:\t%s\r\n	Beschreibung:\t%s\r\n
<none>	<keine>
,	,
The application "	Die Anwendung "
Send Instant\nMessage	Telegramm abschicken
Send Buddy\nChat Invitation	Buddy eine\nChat-Einladung schicken
Service:\t%s\r\n	Dienst:\t%s\r\n
Warnings:\t%u%%\r\n	Warnungen:\t%u%%\r\n
Online time:\t%s\r\n	Online seit:\t%s\r\n
Idle time:\t%s\r\n	Inaktiv seit:\t%s\r\n
Active.\r\n	Aktiv.\r\n
%u minute	%u Minute
%u minutes	%u Minuten
%u hour	%u Stunde
%u hours	%u Stunden
day	Tag
%u days	%u Tage
on	An
off	Aus
%s signed %s %s on %s	%s angemeldet %s %s bei %s
<HTML><A HREF="%s">	<HTML><A HREF="%s">
</A></HTML>	</A></HTML>
http://www.aol.com	http://www.aol.de
You didn't enter a screen name.\r\n\r\nPlease correct or delete the highlighted item.	Sie haben keinen AIM-Namen eingegeben.\r\n\r\nBitte korrigieren oder löschen Sie den markierten Eintrag.
You didn't enter a group name.\r\n\r\nPlease correct or delete the highlighted item.	Sie haben keinen Namen für die Gruppe eingegeben.\r\n\r\nBitte korrigieren oder löschen Sie den markierten Eintrag.
A screen name in your list is too short or contains invalid characters.\r\n\r\nPlease correct or delete the highlighted item.	Ein AIM-Name in Ihrer Liste ist zu kurz oder enthält ungültige Zeichen.\r\n\r\nBitte korrigieren oder löschen Sie den markierten Eintrag.
A screen name in your list was entered as an e-mail address.  Would you like to look up the screen name for that e-mail address?	Ein AIM-Name in Ihrer Liste wurde als eMail-Adresse eingetragen. Möchten Sie den AIM-Namen für diese Adresse suchen?
The same screen name appears more than once in a group.\r\n\r\nPlease correct or delete the highlighted item.	Dieser AIM-Name ist bereits in einer Gruppe vorhanden.\r\n\r\nBitte korrigieren oder löschen Sie den markierten Eintrag.
%s already exist in group '%s'.	%s kommt bereits in Gruppe '%s' vor.
Couldn't import buddy '%s' because your list is full.	Buddy '%s' konnte nicht aufgenommen werden. Ihre Liste ist voll.
You have created a group with the same name as an existing group.\r\n\r\nPlease rename the highlighted item.	Der AIM-Name ist bereits in einer Gruppe vorhanden.\r\n\r\nBitte ändern oder löschen Sie den markierten Eintrag.
Arial	Arial
Entering Buddy	Buddy meldet sich an
Online Buddy	Buddy online
Departing Buddy	Buddy meldet sich ab
Connect to Talk	Für Gespräch verbinden
The time you specified for graying idle users is invalid.\r\nThe value has been set to the default of %u minutes.	Der angegebene Zeitraum zum Markieren von inaktiven Benutzern ist ungültig.\r\nEs wurde der Standardwert von %u Minuten festgelegt.
Offline	Offline
1. Connecting...	1. Verbindung wird hergestellt...
2. Verifying name and password...	2. Name und Passwort werden überprüft...
3. Starting services...	3.  AIM wird gestartet...
Click OK to exit or Cancel to return to the sign on screen.	Klicken Sie auf "OK", um zu beenden oder "Abbrechen", um zur Anmelden-Seite zurückzukehren.
Setup	Setup
Sign On...	Anmelden...
Signon As...	Anmelden als...
Sign Off...	Abmelden...
Are you sure you want to delete the Screen Name %s?\n(Note: this only affects your local machine)\nClick Yes to delete the Screen Name or No to continue.\r\n	Möchten Sie wirklich den AIM-Namen %s löschen?\nWählen Sie "Ja", um ihn zu entfernen oder "Nein", um fortzufahren.
Connection Preferences	Verbindungs-Voreinstellungen
<New User>	<Neuer Benutzer>
Version: 2.0N	Version: 2.0N
A group could not be started.	Eine Gruppe konnte nicht gestartet werden.
register.oscar.aol.com/73010_reuse	register.oscar.aol.com/73010_reuse
register.oscar.aol.com/73010_create	register.oscar.aol.com/73010_create
*Enter Screen Name*	*AIM-Namen eingeben*
You cannot add another name to this list.\n\nThis list is limited to %u names.	Sie können keinen weiteren Namen in diese Liste einfügen.\n\nDie Liste kann maximal %u Namen enthalten.
Privacy Preferences	Privatsphäre-Voreinstellungen
The screen name '%s' is invalid.\n\nPlease correct it or delete it.	Der AIM-Name '%s' ist ungültig.\n\n Bitte korrigieren oder löschen Sie den Eintrag.
You entered an e-mail address (%s) instead of a screen name.\n\nPlease enter the correct screen name or delete this item.	Sie haben statt eines AIM-Namens eine eMail-Adresse (%s) angegeben.\n\nBitte tragen Sie den korrekten AIM-Namen ein, oder löschen Sie diesen Eintrag.
You didn't enter a screen name.\n\nPlease correct or delete the item.	Sie haben keinen AIM-Namen eingetragen.\n\nBitte korrigieren oder löschen Sie den Eintrag.
The screen name '%s' is already in the list.\n\nPlease delete the duplicate item.	Der AIM-Name '%s' ist bereits in der Liste.\n\nBitte löschen Sie den doppelten Eintrag.
Couldn't add '%s' to your allow list because the list is full.	'%s' konnte nicht in Ihre Liste der freigegebenen Namen hinzugefügt werden. Die Liste ist voll.
Couldn't add '%s' to your block list because the list is full.	'%s' konnte nicht in Ihre Liste der gesperrten Namen hinzugefügt werden. Die Liste ist bereits voll.
There isn't enough memory available to continue.\n\nClose one or more applications and select 'Retry' below.	Die verfügbare Speicherkapazität reicht nicht aus, um fortzufahren.\n\nSchließen Sie eine oder mehrere Anwendungen, und versuchen Sie es erneut.
(Line %lu) %s	(Zeile %lu) %s
Alert When	Alarmert bei
%s could not obtain a timer resource that it needs to perform the action you requested.\n\nPlease close one or more applications and select 'Retry' below.	%s hat die erforderlichen Ressourcen für diese Aktion nicht erhalten.\n\nBitte schließen Sie eine oder mehrere Anwendungen, und wählen Sie anschließend "Wiederholen".
There isn't enough disk space available to continue.\n\nPlease delete one or more unneeded files and select 'Retry' below.	Es steht nicht genügend Festplattenplatz zur Verfügung.\r\nBitte löschen Sie eine oder mehrere Dateien, und wählen Sie "Wiederholen".
%u day	%u Tag
Info	Info
Your nickdb.dat was found to be corrupted.\n%s has backed-up this file to\n%s\nand is starting a new one.\n\nIn most cases you do not need to do anything else.\nPlease inform us of this happening via a bug report.	Die Datei nick.db ist beschädigt.\n%s hat diese Datei in\n%s\ngespeichert\n\nund erstellt eine neue.\n\nIn den meisten Fällen ist das Problem damit behoben. Sollte dies nicht der Fall sein, schicken Sie uns bitte einen Fehlerbericht.\n
Edit User Info...	Benutzer-Infos bearbeiten...
Show Buddy List...	Buddy-Liste anzeigen...
Sound Preferences	Ton-Einstellungen
Apply	Anwenden
<title>Default Away Message</title>I am away from my computer right now.	<title>Standard Abwesenheitsmitteilung</title>Ich bin zur Zeit nicht am Platz.
New Message...	Neue Mitteilung...
More	Mehr
AOL Instant Messenger (SM) Preferences	AOL Instant Messenger(SM) - Voreinstellungen
Text Color	Textfarbe
Background Color	Hintergrundfarbe
Smaller Font	Kleinere Schrift
Normal Font	Normale Schrift
Larger Font	Größere Schrift
Bold	Fett
Italic	Kursiv
Underline	Unterstrichen
Create Hyperlink	Hyperlink erstellen
Class:	Klasse:
Warning Level:	Warnstufe:
Idle:	Inaktiv:
Active	Aktiv
Online time:	Online seit:
Member Since:	Mitglied seit:
Transient	Transient
Admin	Administrator
AOL	AOL
Oscar	Oscar
Oscar Free	Interner Verbindungsfehler: Server Free
Not Available	Nicht verfügbar
AM	AM
PM	PM
Times New Roman	Times New Roman
System	System
Text From File...\tF9	Text von Datei...\tF9
Picture Or Sound...\tF10	Bild oder Ton...\tF10
Horizontal Rule\tCtrl+H	Horizontale Linie\tStrg+H
Record Sound...\tF12	Ton aufzeichnen...\tF12
Hyperlink...\tCtrl+L	Hyperlink...\tStrg+L
Show Hyperlink...	Hyperlink zeigen...
Edit Hyperlink...	Hyperlink bearbeiten...
Size Picture...	Bildgröße...
Save Picture...	Bild speichern als...
Save Sound...	Ton speichern...
Normal\tCtrl+N	Normal\tStrg+N
Bold\tCtrl+B	Fett\tStrg+B
Italic\tCtrl+I	Kursiv\tStrg+I
Underline\tCtrl+U	Unterstrichen\tStrg+U
Monospaced Text\tCtrl+T	Nichtproportionaler Text\tStrg+T
Superscript	Hochgestellt
Subscript	Tiefgestellt
6	6
8	8
10	10
12	12
14	14
18	18
24	24
38	38
Style	Text-Typ
Size	Textgröße
Color	Textfarbe
Insert	Einfügen
Smilie	Smilie
:-)  Smiling  Ctrl+1 :)	:-)  Smiling  Strg+1 :)
:-(  Frowning  Ctrl+2 :(	:-(  Saures Gesicht  Strg+2 :(
;-)  Winking  Ctrl+3 ;)	;-)  Zwinkert  Strg+3 ;)
:-P Sticking-out-tongue   Ctrl+4	:-P Steckt-Zunge-raus   Strg+4
Black	Schwarz
Maroon	Braun
Green	Grün
Olive	Oliv
Navy	Dunkelblau
Purple	Lila
Teal	Blaugrün
Gray	Grau
Silver	Hellgrau
Red	Rot
Lime	Hellgrün
Yellow	Gelb
Blue	Blau
Fuchsia	Pink
Aqua	Türkis
White	Weiß
Text Color...	Textfarbe...
Text Background Color...	Hintergrundtextfarbe...
Window Color...	Hintergrundfarbe...
Undo\tCtrl+Z	Rückgängig\tStrg+Z
Cut\tCtrl+X	Ausschneiden\tStrg+X
Copy\tCtrl+C	Kopieren\tStrg+C
Paste\tCtrl+V	Einfügen\tStrg+V
Paste Picture	Bild einfügen
Delete\tDel	Löschen\tEntf
Select All\tCtrl+A	Alles markieren\tStrg+A
Find...\tF5	Suchen...\tF5
Find Again\tF3	Erneut suchen\tF3
Print...\tF4	Drucken...\tF4
Print Setup...\tShift+F4	Drucker einrichten...\tUmsch+F4
Clear Window	Fenster löschen
Save Window...	Inhalt des Fensters speichern unter...
Open Window...	Fenster öffnen...
Set Mark\tF7	Markieren\tF7
Goto Mark\tF8	Gehe zu Markierung\tF8
Get Output Size	Ausgabegröße
Page %d	Seite %d
Output size is %ld bytes	Größe %ld Byte
Output size	Größe
All Files|*.*|	Alle Dateien|*.*|
Open File to Insert	Datei zum Einfügen öffnen
Graphic and Audio Files|*.gif;*.jpg;*.bmp;*.ico;*.xbm;*.wav;*.au;*.snd;*.mid;*.mp3|Graphic Files|*.gif;*.jpg;*.bmp;*.ico;*.xbm|Audio Files|*.wav;*.au;*.snd;*.mid;*.mp3|All Files (*.*)|*.*||	Grafik- und Tondateien|*.gif;*.jpg;*.bmp;*.ico;*.xbm;*.wav;*.au;*.snd;*.mid;*.mp3|Grafikdateien|*.gif;*.jpg;*.bmp;*.ico;*.xbm|Tondateien|*.wav;*.au;*.snd;*.mid;*.mp3|Alle Dateien (*.*)|*.*||
Open Image or Sound File to Insert	Bild- oder Tondatei zum Einfügen öffnen.
(*%s) |*%s|All Files (*.*) |*.*||	(*%s) |*%s|Alle Dateien (*.*) |*.*||
Save File	Datei speichern
AOL Rich Text Format(*.htm)|*.htm|Text Only(*.*)|*.*|	AOL Rich Text Format(*.htm)|*.htm|NurText(*.*)|*.*|
Save Text to File	Text in Datei speichern
AOL Rich Text Format|*.htm|All Files|*.*|	AOL Rich Text Format|*.htm|Alle Dateien|*.*|
Open File in Separate Window	Datei in einem gesonderten Fenster öffnen
Hyperlink URL:  \n%s	Hyperlink URL:  \n%s
Stop Play	Spielen abbrechen
Play	Spielen
Are you sure you want to clear all the content from this window?	Möchten Sie den Inhalt des Fensters wirklich löschen?
Clear Window?	Inhalt des Fensters löschen?
Do you wish to save the modifications?	Möchten Sie die Änderungen speichern?
Modified File	Geänderte Datei
This edit cannot be undone!	Diese Änderung kann nicht mehr rückgängig gemacht werden!
Ran out of memory	Nicht genügend Speicher
Fatal Error	Schwerer Fehler
The value is out of the allowed range. Please re-enter	Der Wert ist nicht gültig. Bitte versuchen Sie es erneut.
Maximum Number of Lines Exceeded!	Die maximale Zeilenanzahl wurde überschritten!
Invalid Page Width, Margins, or Column Specifications!	Ungültige Einstellungen für Seitenbreite, Rand oder Spalten!
Line Too Long	Diese Zeile ist zu lang.
You are low on system resources. Please\r\nclose some programs in order to continue.	Nicht ausreichend Speicher vorhanden. Bitte schließen Sie\r\neinige Programme um fortzufahren.
Unable to create a font: %s, Point Size: %d	Die Schriftart %s in der Punktgröße %d kann nicht dargestellt werden.
Unable to select a font	Schriftart kann nicht ausgewählt werden.
Tried to delete protected text	Dieser Text ist schreibgeschützt und kann nicht gelöscht werden.
Tried to copy protected text	Der Text ist schreibgeschützt und kann nicht kopiert werden.
Clipboard in use by another application	Die Zwischenablage wird bereits von einer anderen Anwendung benutzt.
Clipboard does not contain suitable data	Die Zwischenablage enthält keine geeigneten Daten.
Ran out of memory for Clipboard data	Kein Speicher für die Zwischenablage vorhanden
Cannot open the file	Die Datei kann nicht geöffnet werden.
Error in reading the file	Fehler beim Lesen der Datei
Error creating picture: you are low on system resources.\r\nPlease close some programs in order to continue.	Es steht zu wenig Speicher zur Verfügung, um das Bild darzustellen.\r\nBitte schließen Sie einige Programme, bevor Sie fortfahren.
Can not initialize printing	Drucken ist nicht möglich.
Text not found	Der Text wurde nicht gefunden.
Must Enter a Valid Number	Bitte eine gültige Nummer einfügen
Software error in positioning cursor.	Interner Fehler: Softwarefehler beim Positionieren des Cursors
Ran out of resources in allocating a Display Context; please free up memory and re-run program	Nicht genügend Speicher für die Anzeige vorhanden
Ran out of Font resources for this window; new fonts may not look as intended	Nicht genügend Schriftartressourcen für dieses Fenster. Die neuen Schriftarten werden u. U. anderes dargestellt als erwartet.
Ran out of memory; please free up memory and re-run program	Nicht genügend Speicher vorhanden.
Unable to get text metric for a font; please free up memory and re-run program	Die Schriftart kann nicht dargestellt werden.
Unable to load the accelerator tables; please free up memory and re-run program	Die Tastaturkürzel können nicht geladen werden.
Unable to create the pens; please free up memory and re-run program	Interner Fehler
Could not lock input buffer	Tastaturpuffer konnte nicht gesperrt werden.
Invalid section data encountered	Ungültiger Datenbereich aufgetreten
The Paste content is too big by %ld characters.\r\nThe limit is %ld characters (including markup).	Der Inhalt der Zwischenablage enthält %ld Zeichen zuviel.\r\nDas Limit liegt bei insgesamt %ld Zeichen (einschließlich der Formatierung).
You must enter the Hyperlink URL	Sie müssen die URL des Hyperlinks angeben.
You must enter both the Hyperlink URL and the Hyperlink Text	Sie müssen sowohl die URL als auch den Hyperlink-Text eingeben.
A message has been received with characters\r\nthat cannot be displayed with this system's fonts,\r\nand instead are displayed with an empty rectangle.	Es wurde eine Mitteilung mit Zeichen empfangen, die nicht\r\nmit den Schriftarten des Systems angezeigt werden können.\r\nDiese Zeichen werden als leere Rechecke dargestellt.
The text has characters that cannot be\r\ndisplayed with this system's fonts, and instead\r\nare displayed with substitute characters.	Der Text enthält Zeichen, die mit den Schriftarten des\r\nSystems nicht angezeigt werden können.\r\nSie werden durch andere ersetzt.
Your password has been successfully changed.	Ihr Passwort wurde erfolgreich geändert.
Your new passwords do not match.	Ihre neuen Passwörter stimmen nicht überein.
The password you entered does not have a valid length.	Das eingegebene Passwort hat keine gültige Länge.
Enter your old password and try again.	Geben Sie Ihr altes Passwort ein, und versuchen Sie es erneut.
The password you entered is invalid.	Das alte Passwort ist ungültig.
Unknown error.  Try again later.	Unbekannter Fehler. Bitte versuchen Sie es später erneut.
Your request cannot be processed.	Ihre Anfrage kann nicht bearbeitet werden.
Your new password is invalid.	Das neue Passwort ist ungültig.
Your screen name has been successfully changed.	Ihr AIM-Name wurde geändert.
Changing password...	Passwort wird geändert...
Changing screen name...	AIM-Name wird geändert...
The screen name you entered is not valid.	Der eingegebene AIM-Name ist ungültig.
The screen name you entered does not have a valid length.	Der eingegebene AIM-Name hat keine gültige Länge.
You have recently been confirmed as a registered user.	Sie sind bereits als Benutzer registriert.
A request to confirm your account has been submitted.  Shortly a confirmation e-mail message will be sent to you.  In order to complete account confirmation, you must reply as instructed by the e-mail message.	Sie sind erst dann ein registrierter Benutzer, wenn Sie eine Bestätigungs-eMail erhalten.
You have no e-mail address on file.	Sie haben keine eMail-Adresse angegeben.
Submitting request for account confirmation...	Anfrage für Zugangsbestätigung...
A request to confirm your account has been submitted.  Shortly, a confirmation e-mail message will be sent to you.  In order to complete account confirmation, you must reply as instructed by the e-mail message.	Die Bestätigung für Ihren Zugang wurde angefordert. In Kürze erhalten Sie eine Antwort-eMail. Bitte beantworten Sie diese eMail, um die Bestätigung zu vervollständigen.
You must specify an e-mail address.	Bitte geben Sie eine eMail-Adresse an.
Your e-mail address contains an invalid domain name.	Ihre eMail-Adresse enthält einen ungültigen Domain-Namen.
Your request to update your e-mail address cannot be processed.	Ihre Anfrage auf Änderung Ihrer eMail-Adresse kann nicht bearbeitet werden..
That information cannot be changed at the moment since there is a pending change.	Ihre Anfrage auf Änderung Ihrer eMail-Adresse kann zur Zeit nicht bearbeitet werden.
Submitting e-mail change request.	Anfrage auf Änderung der eMail-Adresse wird abgeschickt.
A request to change your e-mail has been submitted.  The change will occur 72 hours after you correctly reply to the confirmation e-mail that you will receive shortly at your new e-mail address.	Eine Anfrage auf Änderung der eMail-Adresse wurde abgeschickt. Die Änderung erfolgt 72 Stunden, nachdem Sie die Bestätigungs-eMail, die Sie in Kürze an Ihrer neuen eMail-Adresse erhalten werden, korrekt beantwortet haben.
The e-mail address you entered is not valid.	Die eingegebene eMail-Adresse ist nicht gültig.
The e-mail address you entered does not have a valid length.	Die eingegebene eMail-Adresse hat keine gültige Länge.
requesting...	Anfrage läuft...
(no e-mail address)	(keine eMail-Adresse)
Saved Settings (*.blt,*.acf)|*.blt;*.acf|All Files (*.*)|*.*|	Gespeicherte Einstellungen (*.blt,*.acf)|*.blt;*.acf|Alle Dateien (*.*)|*.*|
Load Buddy List	Buddy-Liste laden
Untitled	Ohne Namen
Results	Ergebnisse
The requested settings have been saved.	Die erforderliche Einstellungen wurden gespeichert.
The requested settings have been loaded.	Die erforderliche Einstellungen wurden geladen.
You disabled the merge option.\n\nAre you sure you want to replace your existing settings with the settings from this file?	Sie haben die Zusammenfügen-Option deaktiviert.\n\nMöchten Sie wirklich Ihre jetzigen Einstellungen mit den Einstellungen dieser Datei ersetzen?
%s	%s
Merge with my existing	Zusammenfügen mit existierenden
AOL Instant Messenger.ConfigFile	AOL Instant Messenger.ConfigFile
AIMConfigFile	AIMConfigFile
Directory Info	Verzeichnis-Info
AIM	AIM
Cannot start browser	Browser kann nicht geöffnet werden.
Cannot start Mail application	Cannot start Mail application
Cannot start AOL	AOL kann nicht geöffnet werden.
%s; low on memory	%s; geringe Speicherkapazität
%s; program not found	%s; Programm nicht gefunden
%s; system error %d.	%s; Systemfehler %d.
%s; no browser defined	%s; kein Browser definiert
Executable Files (*.exe)	Ausführbare Dateien (*.exe)
Choose Web Browser	Web-Browser auswählen
Choose Mail Application	Choose Mail Application
%s; non-executable file	%s; keine ausführbare Datei
%s; missing or corrupt DLL	%s; DLL nicht gefunden oder fehlerhaft
%s; 32-bit system required	%s; 32-bit System erforderlich
Browser has no DDE service	Ihr Browser verfügt nicht über eine DDE-Schnittstelle.
You must set the alternate Web browser path	Bitte geben Sie das Verzeichnis des Web-Browsers an.
You must set the alternate e-mail program path	Bitte richten Sie den Pfad für das eMail-Programm ein.
Choose AOL Program	AOL-Programm auswählen
This URL contains characters that could pose a security risk.\r\nIf you are sure the URL is safe, you must launch the browser to open the URL.	Diese URL enthält Zeichen, die ein Sicherheitsrisiko hervorrufen können.\r\nWenn Sie sicher sind, daß diese URL sicher ist, dann starten Sie den Browser um die URL zu öffnen.
This is not a supported URL.	Diese URL wird nicht unterstützt.
Find Another User	Einen anderen Benutzer suchen
Send an Instant Message	Telegramm abschicken
Options	Optionen
Find Text	Text finden
Warn Another User	Einen anderen Benutzer verwarnen
To:	An:
%s's Warning Level: %d%%	%s's Warnstufe: %d%%
Block	Sperren
Instant Message	Telegramm
Added in Instant Message window	In das Telegramm-Fenster eingefügt
IM between %s and %s on %s	Telegramm zwischen %s und %s über %s
%s - %s	%s - %s
Instant Message received on %s from %s	Telegramm über %s von %s erhalten
recent IM ScreenNames	Aktuelle AIM-Namen
*** I am gone now. Please leave a message and I will see it when I get back. ***	*** Ich bin zur Zeit nicht an meinenm Platz. Bitte hinterlassen Sie mir eine Nachricht. ***
Text Composition and Viewing Settings	Telegramm-Einstellungen
Auto response from %s	Automatische Antwort von %s
Previous message was not received by %s because of error	Aufgrund eines Fehlers konnte die letzte Mitteilung nicht von %s empfangen werden.
%s is inviting you to rendezvous with an unsupported service	Eine Einladung von %s erfordert einen nicht unterstützten Dienst.
Please enter the screen name of the person you would like to send the message to.	Bitte geben Sie den AIM-Namen der Person ein, der Sie die Mitteilung schicken möchten.
%s's warning level has been increased to %d%%.	Warnstufe von %s erhöht.\\r\\nSie liegt jetzt bei %d%%.
Warning of '%s' not allowed.	Warnen von '%s' ist nicht erlaubt.
Warning of '%s' failed.\r\nError: %s	Warnen von '%s' ist nicht möglich.\r\nFehler: %s
Add '%s' to your Block List?\r\n\r\nYou cannot communicate with users while they are on your Block List.	Möchten Sie '%s' Ihrer Liste der gesperrten Namen hinzufügen?\r\n\r\nSolange ein Nutzer auf dieser Liste steht, können Sie mit ihm nicht chatten.
%d messages from %s\r\n\tReason: %s	%d Mitteilungen von %s\r\n\tBegründung: %s
the sender's msg was too large	Die Mitteilung des Absenders war zu lang.
sender exceeded the receiver's rate limit	Der Absender überschreitet die Warngrenze des Empfängers.
Message rejected because sender's\r\nWarning level is too high.	Die Mitteilung wurde zurückgewiesen,\r\nda die Warnstufe des Absenders zu hoch ist.
Message rejected because receiver's\r\nWarning level is too high.	Die Mitteilung wurde zurückgewiesen, da die Warnstufe\r\ndes Empfängers zu hoch ist.
unknown	unbekannt
Click the Warn button below to send a warning to %s.  This will raise %s's warning level and limit his or her activity when using AOL Instant Messenger.  Do this only if %s has done something to merit a warning.	Klicken Sie auf die Schaltfläche "Warnen", um %s eine Verwarnung zu schicken. Dies erhöht die Warnstufe von  %s und beschränkt seine oder ihre Einsatzmöglichkeiten von AOL Instant Messenger. Tun Sie dies nur, wenn %s wirklich eine Verwarnung verdient hat.
IM Error	Telegramm-Fehler
Information	Telegramminformation
Unexpected number of bytes received.	Unerwartete Anzahl von Bytes empfangen
Internal buffer size error.	Interner Buffer Fehler
Unable to send Warning request.	Warnung konnte nicht abgeschickt werden.
You must be logged in in order to send a message.	Um eine Mitteilung abzuschicken, müssen Sie angemeldet sein.
Error code %d received from server: %s	Fehlercode %d vom Server: %s erhalten
Unknown error code received from server.	Unbekannte Fehlermeldung vom Host erhalten
User <B>%s</B> is not available.	Benutzer <B>%s</B> ist nicht erreichbar.
An error was reported in response to the message sent to <B>%s</B>.\r\nError code: %d	Beim Abschicken einer Mitteilung an <B>%s</B> wurde ein Fehler gemeldet.\r\nFehlercode: %d
The last message was not sent because you are over the rate limit.\r\nPlease wait until sending is re-enabled and send the message again.	Die letzte Mitteilung wurde nicht abgeschickt, weil Sie die Warngrenze überschritten haben.\r\nWarten Sie, bis das Senden wieder aktiviert ist, und schicken Sie die Mitteilung dann erneut ab.
You are over the rate limit.\r\nPlease wait until warning is re-enabled.	Sie haben die Warngrenze überschritten.\r\nBitte warten Sie, bis die Warnfunktion wieder aktiv ist.
The message is too long.\r\nThe limit is %ld characters. You have entered\r\n%d characters (including any needed markup).	Die Mitteilung ist zu lang.\r\nDas Limit beträgt %ld Zeichen. Sie haben \r\n%d Zeichen eingegeben. (einschließlich eventueller Formatierung).
